Location,Indicator,Period,Dim1,Dim2,First Tooltip
Congo,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,30.9 [25.5-36.3]
Cook Islands,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,84.7 [81.4-87.7]
Costa Rica,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.6 [57-65.9]
Côte d’Ivoire,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,31.6 [27.1-36.5]
Croatia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.6 [55.1-64.1]
Cuba,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.5 [53.5-63.3]
Cyprus,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.1 [54.3-63.9]
Czechia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62.3 [57.8-66.7]
Democratic People's Republic of Korea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,32.4 [27-37.7]
Democratic Republic of the Congo,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,25.3 [20.4-30.6]
Denmark,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.4 [51.3-59.4]
Djibouti,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,38.6 [32.6-44.4]
Dominica,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,60.3 [55.1-65.5]
Dominican Republic,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.2 [56.3-65.9]
Ecuador,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56 [50.5-61.4]
Egypt,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,63.5 [59.1-67.6]
El Salvador,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.9 [55.1-64.6]
Equatorial Guinea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,26.7 [21.1-32.4]
Eritrea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,22 [18-26.2]
Estonia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.8 [51.3-60.2]
Eswatini,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,38.4 [33.5-43.5]
Ethiopia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,20.9 [17.1-25]
Fiji,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,63.8 [58.2-69.2]
Finland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.9 [54.2-61.7]
France,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.5 [55-63.7]
Gabon,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,40.2 [33.6-46.8]
Gambia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,31.9 [27.4-36.8]
Georgia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.2 [49.2-59.1]
Germany,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.8 [52.8-60.5]
"Germany, Federal Republic (former)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1989,Both sexes,,45.5 [43-48]
Ghana,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,32 [28-36.1]
Greece,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62.3 [57.8-66.8]
Grenada,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,51.4 [45.9-57.1]
Guatemala,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.9 [51-60.7]
Guinea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,26.6 [22.5-31.1]
Guinea-Bissau,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,29.9 [25.2-34.8]
Guyana,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,49.4 [43.8-55.3]
Haiti,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.9 [49.6-60]
Honduras,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.8 [50.7-60.5]
Hungary,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.6 [57-66.2]
Iceland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.1 [55-63.1]
India,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,19.7 [16.9-22.8]
Indonesia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.2 [24.2-32.3]
Iran (Islamic Republic of),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.6 [58-65.2]
Iraq,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.6 [60.4-68.8]
Ireland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,60.6 [56.3-64.7]
Israel,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.3 [59.7-68.6]
Italy,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.5 [54.3-62.5]
Jamaica,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.5 [50.6-60.5]
Japan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.2 [24.1-30.4]
Jordan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,69.6 [66-73.2]
Kazakhstan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,53.6 [48.8-58.3]
Kenya,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,25.5 [21.5-29.6]
Kiribati,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,78.7 [74.6-82.6]
Kiribati (until 1984),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1983,Both sexes,,57.1 [51.1-62.6]
Kuwait,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,73.4 [69.7-77]
Kyrgyzstan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,48.3 [42.7-53.7]
Lao People's Democratic Republic,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,25.4 [21.3-29.7]
Latvia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.8 [52.6-63.1]
Lebanon,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,67.9 [63.5-71.9]
Lesotho,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,38.7 [34.2-43.5]
Liberia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,30.9 [26.8-35.5]
Libya,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,66.8 [62.4-71]
Lithuania,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.6 [54.6-64.3]
Luxembourg,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.7 [54.2-63.1]
Madagascar,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23.9 [19.7-28.2]
Malawi,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23.4 [19.6-27.6]
Malaysia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,42.5 [38.1-47]
Maldives,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,30.6 [26.2-35.4]
Mali,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.1 [23.9-32.5]
Malta,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,66.4 [61.5-70.8]
Marshall Islands,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,83.5 [80-86.7]
Mauritania,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,34.4 [29.6-39.5]
Mauritius,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,32.3 [27.7-37.2]
Mexico,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.9 [61.1-68.6]
Micronesia (Federated States of),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,75.9 [71.5-80]
Monaco,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,No data
Mongolia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55.6 [50.6-60.3]
Montenegro,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.4 [54.3-64.3]
Morocco,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,60.4 [55.6-65]
Mozambique,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,26.4 [22.4-30.7]
Myanmar,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,24.8 [20.9-28.8]
Namibia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,40.6 [35.7-45.7]
Nauru,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,88.5 [85.6-91]
Nepal,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,21 [17.5-24.9]
Netherlands,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.8 [53.7-61.6]
New Zealand,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,65.6 [62.4-68.8]
Nicaragua,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.2 [53.3-62.8]
Niger,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,22 [18.1-26.4]
Nigeria,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.9 [25.2-32.9]
Niue,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,80 [76-83.7]
Norway,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.3 [54.2-62.2]
Oman,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62.6 [57.9-67.2]
Pakistan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.4 [24.1-33.2]
Palau,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,85.1 [81.7-88.1]
Panama,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.8 [53.9-63.4]
Papua New Guinea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,52.9 [46.4-59.3]
Paraguay,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,53.5 [47.6-59.1]
Peru,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.5 [53.1-61.6]
Philippines,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.6 [23.6-32]
Poland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.3 [54.3-62.2]
Portugal,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.5 [53.1-62]
Qatar,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,71.7 [67-76.1]
Republic of Korea,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,30.3 [27.2-33.4]
Republic of Moldova,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,51.8 [46.4-57.3]
Romania,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.7 [53.3-62.1]
Russian Federation,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.1 [52.5-61.6]
Rwanda,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,25.1 [21.2-29.2]
Saint Kitts and Nevis,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,52.3 [46.7-58.2]
Saint Lucia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,48.1 [42.3-54.1]
Saint Vincent and the Grenadines,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55 [49.4-60.5]
Samoa,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,77.6 [73.4-81.6]
San Marino,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,No data
Sao Tome and Principe,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,35.4 [30.5-40.4]
Saudi Arabia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,69.7 [65.9-73.4]
Senegal,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.4 [24.3-32.8]
Serbia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.1 [52.6-61.5]
Seychelles,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,36.8 [31.8-41.9]
Sierra Leone,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.7 [23.6-32.1]
Singapore,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,31.8 [27.6-35.9]
Slovakia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.2 [51.4-60.7]
Slovenia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.1 [51-61]
Solomon Islands,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,55 [49.2-60.9]
Somalia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.4 [23.6-33.2]
South Africa,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,53.8 [49.8-57.9]
South Sudan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,No data
South Viet Nam (former),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1976,Both sexes,,5.1 [3.3-7.3]
Spain,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.6 [57.7-65.4]
Sri Lanka,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23.3 [19.4-27.3]
Sudan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,No data
Sudan (until 2011),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.9 [24.4-33.7]
Suriname,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.9 [53.9-63.9]
Sweden,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.4 [52.4-60.4]
Switzerland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.3 [50-58.2]
Syrian Arab Republic,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.4 [56.5-66.1]
Tajikistan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,45.3 [39.9-51]
Thailand,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,32.6 [28.2-37.1]
The former Yugoslav Republic of Macedonia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.1 [53-63]
Timor-Leste,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,21.6 [17.8-25.6]
Togo,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,28.1 [23.9-32.6]
Tonga,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,78.5 [74.3-82.5]
Trinidad and Tobago,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,46 [39.7-52.5]
Tunisia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.6 [57.2-66]
Turkey,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,66.8 [63.3-70.3]
Turkmenistan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,51.8 [46.6-56.9]
Tuvalu,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,81.9 [78.1-85.3]
Uganda,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,22.4 [18.7-26.3]
Ukraine,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,58.4 [52.9-63.8]
United Arab Emirates,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,67.8 [63.2-72.4]
United Kingdom of Great Britain and Northern Ireland,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,63.7 [60.9-66.5]
United Republic of Tanzania,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.7 [23.9-31.8]
United States of America,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,67.9 [64.5-71.1]
Uruguay,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62.9 [58.1-67.7]
