Location,Indicator,Period,Dim1,Dim2,First Tooltip
Bosnia and Herzegovina,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.8 [24.5-37.6]
Botswana,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.6 [23.4-36.4]
Brazil,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.3 [18.1-28.8]
Brunei Darussalam,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.9 [13.5-25.2]
Bulgaria,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.4 [21.7-35.5]
Burkina Faso,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,32.6 [25.3-40.1]
Burundi,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.2 [22-37.7]
Cabo Verde,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.5 [22.6-36.8]
Cambodia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.1 [19.6-33]
Cameroon,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.8 [18.8-31.8]
Canada,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,13.2 [9.4-17.7]
Central African Republic,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,31.2 [23.3-39.5]
Chad,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,32.9 [25.7-40.6]
Chile,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.9 [15.8-26.8]
China,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.2 [14.9-24]
Colombia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.2 [14.2-24.7]
Comoros,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.9 [21.3-35.3]
Congo,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.2 [19.1-34.3]
Cook Islands,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.3 [16.2-29.2]
Costa Rica,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.7 [14-24.3]
Côte d’Ivoire,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.2 [20.7-34.2]
Croatia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,32.4 [26.4-39.3]
Cuba,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19 [13.8-25.3]
Cyprus,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.8 [14.1-26.7]
Czechia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.9 [21.5-34.7]
Democratic People's Republic of Korea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.2 [12.7-24.9]
Democratic Republic of the Congo,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.5 [21.1-36.5]
Denmark,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.6 [15.9-25.7]
Djibouti,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.8 [19.5-35]
Dominica,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.5 [16.5-29.3]
Dominican Republic,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.5 [15.4-28.4]
Ecuador,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,17.9 [12.6-23.7]
Egypt,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25 [19.8-30.6]
El Salvador,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.7 [13.3-24.7]
Equatorial Guinea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.4 [20.8-36.9]
Eritrea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.1 [22.3-36.3]
Estonia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.4 [22.3-32.9]
Eswatini,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.8 [23.3-37]
Ethiopia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.3 [23.1-38]
Fiji,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.7 [15.6-28.7]
Finland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.4 [15.2-24.1]
France,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22 [16.6-27.8]
Gabon,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.5 [18.4-33.7]
Gambia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.1 [22.5-36.4]
Georgia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.3 [20-33.5]
Germany,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.9 [14.7-25.1]
"Germany, Federal Republic (former)",Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1989,Both sexes,18+  years,36.4 [33.1-39.8]
Ghana,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.7 [18.7-29.3]
Greece,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.1 [13.8-25.3]
Grenada,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.3 [18.1-31.2]
Guatemala,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.2 [15.3-27.7]
Guinea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.3 [23.7-37.4]
Guinea-Bissau,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.3 [23.2-37.7]
Guyana,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.1 [16.7-30.6]
Haiti,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.5 [17.8-31.9]
Honduras,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.4 [15.6-27.9]
Hungary,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30 [23.3-36.9]
Iceland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.7 [14.1-25.9]
India,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.8 [21.3-30.7]
Indonesia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.8 [18.5-29.5]
Iran (Islamic Republic of),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.7 [15.2-24.6]
Iraq,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.2 [19.1-31.6]
Ireland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.7 [14.7-25.3]
Israel,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,16.6 [11.7-22.4]
Italy,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.2 [16.2-26.3]
Jamaica,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.8 [16-28.4]
Japan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,17.6 [14.1-21.5]
Jordan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21 [15.8-26.9]
Kazakhstan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.1 [20.1-34.6]
Kenya,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.7 [20.2-34]
Kiribati,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.5 [15.8-28.2]
Kiribati (until 1984),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1983,Both sexes,18+  years,22 [16.9-27.4]
Kuwait,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.6 [17.9-30]
Kyrgyzstan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.7 [20.3-33.6]
Lao People's Democratic Republic,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.8 [18.8-31.1]
Latvia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.4 [22.6-36.9]
Lebanon,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.7 [15.4-26.8]
Lesotho,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29 [22.6-35.6]
Liberia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.3 [22.2-35.2]
Libya,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.7 [18-29.8]
Lithuania,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.3 [22.4-36.6]
Luxembourg,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.9 [16.3-27.9]
Madagascar,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.1 [21.4-35.4]
Malawi,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.9 [22.1-36.3]
Malaysia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.9 [17.9-28.7]
Maldives,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.4 [17.9-31.5]
Mali,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,32.6 [25.4-40.4]
Malta,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.4 [13.8-25.5]
Marshall Islands,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.3 [15.2-28.1]
Mauritania,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,31.7 [24.3-40]
Mauritius,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25 [18.9-31.9]
Mexico,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.7 [14.8-25.1]
Micronesia (Federated States of),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25 [18.9-32]
Monaco,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,No data
Mongolia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29 [22.5-35.9]
Montenegro,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.1 [22.4-36.1]
Morocco,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.1 [20-32.9]
Mozambique,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.1 [22.2-36.6]
Myanmar,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.6 [18.5-31.1]
Namibia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.5 [22.3-35]
Nauru,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.5 [14.6-27.7]
Nepal,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.4 [23.6-35.7]
Netherlands,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.7 [14.4-23.7]
New Zealand,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,16.2 [12.3-20.8]
Nicaragua,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.8 [15.1-27.3]
Niger,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,33.4 [25.9-41.4]
Nigeria,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.9 [18.7-29.5]
Niue,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.2 [18.3-30.8]
Norway,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.7 [14.7-25]
Oman,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.8 [18.9-31.5]
Pakistan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.5 [24.4-37.4]
Palau,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.9 [16.8-30]
Panama,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.9 [14.8-25.8]
Papua New Guinea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.6 [18.4-33.5]
Paraguay,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.6 [17.9-31.8]
Peru,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,13.7 [10.5-17.4]
Philippines,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.6 [17.4-28.1]
Poland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.7 [23-35]
Portugal,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.4 [18.2-31.2]
Qatar,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.4 [16.1-29.8]
Republic of Korea,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,11 [8.2-14.3]
Republic of Moldova,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.8 [23.1-37]
Romania,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30 [23.4-37.3]
Russian Federation,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.2 [21.2-33.6]
Rwanda,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.7 [19.7-34.3]
Saint Kitts and Nevis,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.3 [18.7-32.4]
Saint Lucia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.1 [20.2-35]
Saint Vincent and the Grenadines,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.3 [17-30.5]
Samoa,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24 [17.9-30.8]
San Marino,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,No data
Sao Tome and Principe,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.8 [19.7-33]
Saudi Arabia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.3 [18-29.2]
Senegal,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.2 [23-38]
Serbia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.5 [23.4-35.6]
Seychelles,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.5 [17.6-30.2]
Sierra Leone,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.3 [23.4-37.2]
Singapore,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,14.6 [10.8-19]
Slovakia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.5 [22.5-34.9]
Slovenia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.5 [23.9-37.9]
Solomon Islands,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22 [15.7-29]
Somalia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,32.9 [25.2-41.3]
South Africa,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.9 [21.7-32.7]
South Sudan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,No data
South Viet Nam (former),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1976,Both sexes,18+  years,20.3 [13.7-28.3]
Spain,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.2 [14.5-24.6]
Sri Lanka,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.4 [16.5-29.3]
Sudan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,No data
Sudan (until 2011),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.2 [23-37.8]
Suriname,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.4 [16.2-29.5]
Sweden,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,19.3 [14.7-24.3]
Switzerland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18 [13.5-23.2]
Syrian Arab Republic,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.5 [18.7-30.8]
Tajikistan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,26.1 [18.9-34.2]
Thailand,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.3 [16.9-28.3]
The former Yugoslav Republic of Macedonia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.5 [21.9-36.1]
Timor-Leste,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.6 [21.4-34.4]
Togo,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.9 [22.4-35.8]
Tonga,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.7 [17.5-30.6]
Trinidad and Tobago,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.8 [18.7-33.9]
Tunisia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.2 [17.7-29]
Turkey,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.3 [15.9-24.9]
Turkmenistan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.4 [19.3-32.4]
Tuvalu,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.7 [17.6-31.2]
Uganda,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.3 [21-34.2]
Ukraine,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.1 [20.7-34.2]
United Arab Emirates,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.1 [15.2-28]
United Kingdom of Great Britain and Northern Ireland,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,15.2 [12.2-18.3]
United Republic of Tanzania,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.3 [21.4-33.8]
United States of America,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,12.9 [9.8-16.8]
Uruguay,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.7 [15.3-26.6]
Uzbekistan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.6 [19.3-32.4]
Vanuatu,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.2 [17.3-31.5]
Venezuela (Bolivarian Republic of),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.6 [13.7-24.1]
Viet Nam,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.4 [18-29.4]
Yemen,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.7 [23.3-38.7]
Yemen Arab Republic (until 1990),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1989,Both sexes,18+  years,28.7 [22.7-35.1]
Zambia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.1 [20.8-34.1]
Zimbabwe,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.2 [21.6-35.7]
